"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price GBP"
"1","4","RPC3567-ND","CBMFTS240A","HEX STANDOFF M3 NYLON 10.5MM","","4","0","0.38000","1.52"
"2","4","732-12912-ND","971080324","BRASS SPACER STUD METRIC THREAD","","4","0","0.53000","2.12"
"3","2","4191-EM1C331MP30809CT-ND","EM1C331MP30809","CAP ALUM 330UF 20% 16V RADIAL TH","","2","0","0.30000","0.60"
"4","1","952-1745-1-ND","S8411-45R","BATT HOLDER COIN 12MM 1 CELL SMD","","1","0","1.40000","1.40"
"5","20","1276-1184-1-ND","CL10B105KA8NNNC","CAP CER 1UF 25V X7R 0603","","20","0","0.03400","0.68"
"6","20","1276-1244-1-ND","CL21A475KAQNNNE","CAP CER 4.7UF 25V X5R 0805","","20","0","0.06000","1.20"
"7","20","1276-2295-1-ND","CL10C470JB81PNC","CAP CER 47PF 50V C0G/NP0 0603","","20","0","0.03200","0.64"
"8","10","1276-1100-1-ND","CL21A226MQQNNNE","CAP CER 22UF 6.3V X5R 0805","","10","0","0.07700","0.77"
"9","10","MMBZ27VALT1GOSCT-ND","MMBZ27VALT1G","TVS DIODE 22VWM 40VC SOT23-3","","10","0","0.15000","1.50"
"10","2","2073-USB4115-03-CCT-ND","USB4115-03-C","CONN USB3.1 TYPE-C VERT SOCKET","","2","0","0.92000","1.84"
"11","3","118-SRN6028C-3R9MCT-ND","SRN6028C-3R9M","FIXED IND 3.9UH 3A 38 MOHM SMD","","3","0","0.37000","1.11"
"12","10","RMCF0603FG22K0CT-ND","RMCF0603FG22K0","RES 22K OHM 1% 1/10W 0603","","10","0","0.01200","0.12"
"13","2","2223-TS12-74-70-BK-250-SMT-TRCT-ND","TS12-74-70-BK-250-SMT-TR","7.4  X 7.4, 7 MM ACTUACTOR HEIGH","","2","0","1.08000","2.16"
"14","1","1528-5183-ND","5183","DHT20 - AHT20 PIN MODULE - I2C T","","1","0","3.72000","3.72"
"15","2","1965-ESP32-WROOM-32UE-N16CT-ND","ESP32-WROOM-32UE-N16","RF TXRX MOD BLUETOOTH U.FL SMD","","2","0","2.48000","4.96"
"16","2","768-1129-1-ND","FT231XS-R","IC USB SERIAL FULL UART 20SSOP","","2","0","1.93000","3.86"
"17","2","AP63203WU-7DICT-ND","AP63203WU-7","IC REG BUCK 3.3V 2A TSOT23-6","","2","0","0.72000","1.44"
"18","2","497-18060-1-ND","STUSB4500QTR","IC USB CONTROLLER I2C 24QFN","","2","0","2.24000","4.48"
"19","1","2987-DH-20G50010-ND","DH-20G50010","CBL ASY IPEX MHF1-SMA P-J 3.937""","","1","0","1.87000","1.87"
"20","10","732-8831-1-ND","860020474014","CAP ALUM 470UF 20% 25V RADIAL","","10","0","0.29000","2.90"
"21","1","553-1471-ND","W1010","RF ANT 2.4GHZ WHIP TILT SMA 3""","","1","0","3.36000","3.36"
"22","2","495-5463-ND","B66362A2000X000","YOKE ETD 34 X 17 X 11","","2","0","0.47000","0.94"
"23","1","495-5466-ND","B66362X1014T001","BOBBIN COIL FORMER ETD 34X17X11","","1","0","1.88000","1.88"
"24","2","1779-1102-ND","ETD34/17/11-3C94","FERRITE CORE ETD 3C94","","2","0","0.97000","1.94"
