Designator,Footprint,Quantity,Value,LCSC Part #
BT1,S8411-45,1,CR2032,
"C1, C10, C11, C14, C17, C18, C19, C4, C7, C8, C9",0603,11,100n,
"C12, C22, C23",0805,3,4.7u,
"C13, C15, C16, C6",0603,4,1u,
"C2, C3",0603,2,47p,
"C20, C21, C5",0805,3,22u,
"D1, D2",SOT-23,2,MMBZ27,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,USB4145030230C,1,USB4145-03-0230,
J2,PinSocket_2x03_P2.54mm_Horizontal,1,BHR-06,
J3,PinSocket_2x03_P2.54mm_Vertical,1,SFH11,
L1,L_Bourns-SRN6028,1,3.9u,
"Q1, Q2",SOT-23,2,BC817,
Q3,SOT-23,1,DMP3099,
"R1, R10, R11, R12, R13, R14, R15, R2, R3, R6, R8",0603,11,10k,
"R16, R18, R4, R5",0603,4,1k,
R17,0603,1,100k,
R19,0603,1,100,
R20,0603,1,22k,
"R7, R9",0603,2,27,
S1,TS127460BK250SMTTR,1,TS12-74-70-BK-250,
S2,PinHeader_1x04_P2.54mm_Vertical,1,AHT20,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1420D,
U3,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STUSB4500QTR,
U5,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U6,TSOT-23-6,1,AP63203WU,
