Designator,Mid X,Mid Y,Rotation,Layer
BT1,132.7,-89.05,315.0,bottom
C1,109.725,-52.75,0.0,top
C10,120.0,-34.0,90.0,top
C11,123.0,-34.0,90.0,top
C12,118.23125,-89.05,270.0,top
C13,119.98125,-89.0,270.0,top
C14,128.48125,-96.25,0.0,top
C15,123.23125,-89.0,270.0,top
C16,121.73125,-89.0,90.0,top
C17,133.5,-57.6,270.0,top
C18,125.25,-71.5,180.0,top
C19,140.5,-72.1,0.0,top
C2,103.975,-45.5,180.0,top
C20,144.2,-78.6,180.0,top
C21,144.2,-80.6,180.0,top
C22,139.8,-78.6,0.0,top
C23,139.8,-80.6,0.0,top
C3,103.975,-50.0,180.0,top
C4,112.2,-36.5,180.0,top
C5,112.2,-38.25,180.0,top
C6,117.0,-34.0,90.0,top
C7,126.0,-34.0,90.0,top
C8,121.5,-34.0,90.0,top
C9,124.5,-34.0,90.0,top
D1,133.5,-89.0,180.0,top
D2,115.98125,-94.75,180.0,top
J1,110.0,-82.5,0.0,bottom
J2,112.625,-61.975,0.0,top
J3,121.275,-61.975,0.0,top
L1,145.8,-73.7,0.0,top
Q1,117.0,-50.0,180.0,top
Q2,121.0,-50.0,0.0,top
Q3,128.48125,-89.0,180.0,top
R1,119.0,-52.5,180.0,top
R10,117.0,-39.35,90.0,top
R11,126.0,-39.35,90.0,top
R12,121.5,-39.35,90.0,top
R13,124.5,-39.35,90.0,top
R14,120.0,-39.35,90.0,top
R15,123.0,-39.35,90.0,top
R16,124.73125,-89.0,270.0,top
R17,128.48125,-93.25,180.0,top
R18,128.48125,-97.75,180.0,top
R19,128.48125,-91.75,180.0,top
R2,118.5,-39.35,90.0,top
R20,128.48125,-94.75,0.0,top
R3,128.25,-50.5,270.0,top
R4,132.0,-57.6,270.0,top
R5,130.5,-57.6,270.0,top
R6,126.75,-50.5,90.0,top
R7,103.975001,-48.5,0.0,top
R8,119.0,-47.5,0.0,top
R9,103.975,-46.999999,0.0,top
S1,140.0,-50.0,315.0,bottom
S2,126.19,-63.0,90.0,top
U1,109.975,-47.5,270.0,top
U2,127.0,-75.0,180.0,top
U3,120.0,-45.0,270.0,bottom
U4,122.48125,-95.0,0.0,top
U5,142.5,-60.0,0.0,top
U6,140.0,-75.0,0.0,top
