Designator,Footprint,Quantity,Value,LCSC Part #
BT1,S8411-45,1,CR2032,
"C11, C12, C13, C14, C15, C16, C17, C5, C6",0603,9,100n,
"C3, C4",0805,2,4.7u,
"C8, C9",0805,2,22u,
D1,Nexperia_CFP3_SOD-123W,1,1N5819,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,USB4145030230C,1,USB4145-03-0230,
J3,PinHeader_2x03_P2.54mm_Horizontal,1,BHR-06,
J4,PinSocket_2x03_P2.54mm_Vertical,1,SFH11,
L1,L_Bourns-SRN6028,1,10u,
L2,L_Bourns-SRN6028,1,3.9u,
R1,0603,1,92.82k,
"R2, R5, R8",0603,3,5.1k,
"R3, R6, R9",0603,3,10k,
"R4, R7",0603,2,1k,
S1,TS127460BK250SMTTR,1,TS12-74-70-BK-250-SMT-TR,
S2,PinHeader_1x04_P2.54mm_Vertical,1,AHT20,
U1,Pico Mini,1,~,
U2,SOT-23-5,1,AP3012,
U3,TSOT-23-6,1,AP63203WU,
U4,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,
U5,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1420D,
