Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.301225,-90.267252,315.0,bottom
C11,140.0,-69.3,180.0,top
C12,110.25,-71.5,0.0,top
C13,120.45,-32.0,90.0,top
C14,125.55,-32.0,90.0,top
C15,117.925,-31.975,90.0,top
C16,123.0,-32.0,90.0,top
C17,115.375,-32.0,90.0,top
C3,113.7,-74.2,90.0,top
C4,111.5,-93.0,0.0,top
C5,127.5,-91.5,180.0,top
C6,111.5,-87.0,180.0,top
C8,122.0,-71.5,0.0,top
C9,117.5,-93.0,180.0,top
D1,124.0,-78.5,270.0,top
J1,102.0,-82.0,0.0,top
J2,110.0,-82.5,0.0,bottom
J3,106.975,-64.525,180.0,top
J4,119.985,-64.5,0.0,top
L1,119.0,-80.0,0.0,top
L2,119.0,-88.7,0.0,top
R1,122.0,-73.5,180.0,top
R2,122.0,-75.0,180.0,top
R3,129.1,-93.05,0.0,top
R4,126.5,-68.0,0.0,top
R5,111.75,-82.5,0.0,top
R6,148.5,-76.05,0.0,top
R7,126.5,-66.5,0.0,top
R8,108.25,-82.5,180.0,top
R9,143.25,-69.3,0.0,top
S1,140.0,-50.0,315.0,bottom
S2,129.99,-63.0,270.0,bottom
U1,123.0,-46.0,90.0,top
U2,117.5,-74.2125,0.0,top
U3,111.5,-90.0,180.0,top
U4,135.5,-80.475,90.0,top
U5,143.98,-62.5,0.0,top
U6,108.0,-75.25,270.0,top
