Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,
"C2, C4, C5, C6, C7, C8",0603,6,100n,
C3,CP_Radial_D8.0mm_P3.50mm,1,470u,
"J2, J3",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J4,PinHeader_2x03_P2.54mm_Vertical,1,BHR-06-VUA,
"R1, R2",0603,2,100k,
R3,0603,1,R_{term},DNP
"U1, U2, U6, U7",SOIC-16_3.9x9.9mm_P1.27mm,4,74HC595,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1420D,
"U3, U8",SOIC-18W_7.5x11.6mm_P1.27mm,2,TBD62783A,
"U4, U9",SOIC-16_3.9x9.9mm_P1.27mm,2,ULN2003A,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny424-SS,
