Designator,Mid X,Mid Y,Rotation,Layer
C1,40.0,43.0,0.0,top
C2,40.0,41.0,0.0,top
C3,7.652651,16.0,0.0,bottom
C4,29.3,32.0,0.0,top
C5,38.0,45.7,90.0,top
C6,22.5,45.6,90.0,top
C7,13.0,25.5,270.0,top
C8,28.5,25.5,270.0,top
J2,14.065,1.27,90.0,top
J4,21.275,38.025,0.0,bottom
R1,45.0,27.25,180.0,top
R2,45.0,28.75,180.0,top
R3,24.955,35.5,270.0,top
U1,31.864,47.25,270.0,top
U10,30.955,35.5,180.0,top
U2,16.37,47.25,270.0,top
U3,32.499,58.68,90.0,top
U4,17.64,58.68,90.0,top
U5,41.5,35.5,0.0,top
U6,19.126,23.8,90.0,top
U7,34.62,23.8,90.0,top
U8,18.491,12.37,270.0,top
U9,33.35,12.497,270.0,top
