Designator,Mid X,Mid Y,Rotation,Layer
D1,145.833,-35.5,180.0,bottom
D10,135.625,-55.833332,180.0,bottom
D11,135.625,-65.999998,180.0,bottom
D12,135.625,-76.166664,180.0,bottom
D13,135.625,-86.33333,180.0,bottom
D14,135.625,-95.5,180.0,bottom
D15,125.417,-35.5,180.0,bottom
D16,125.417,-45.666666,180.0,bottom
D17,125.417,-55.833332,180.0,bottom
D18,125.417,-65.999998,180.0,bottom
D19,125.417,-76.166664,180.0,bottom
D2,145.833,-45.666666,180.0,bottom
D20,125.417,-86.33333,180.0,bottom
D21,125.417,-95.5,180.0,bottom
D22,115.208,-35.5,180.0,bottom
D23,115.208,-45.666666,180.0,bottom
D24,115.208,-55.833332,180.0,bottom
D25,115.208,-65.999998,180.0,bottom
D26,115.208,-76.166664,180.0,bottom
D27,115.208,-86.33333,180.0,bottom
D28,115.208,-95.5,180.0,bottom
D29,105.0,-35.5,180.0,bottom
D3,145.833,-55.833332,180.0,bottom
D30,105.0,-45.666666,180.0,bottom
D31,105.0,-55.833332,180.0,bottom
D32,105.0,-65.999998,180.0,bottom
D33,105.0,-76.166664,180.0,bottom
D34,105.0,-86.33333,180.0,bottom
D35,105.0,-96.5,180.0,bottom
D4,145.833,-65.999998,180.0,bottom
D5,145.833,-76.166664,180.0,bottom
D6,145.833,-86.33333,180.0,bottom
D7,145.833,-95.5,180.0,bottom
D8,135.625,-35.5,180.0,bottom
D9,135.625,-45.666666,180.0,bottom
DISP1,100.0,-100.0,0.0,top
DISP2,110.21,-100.0,0.0,top
DISP3,120.42,-100.0,0.0,top
DISP4,130.63,-100.0,0.0,top
DISP5,140.84,-100.0,0.0,top
J1,136.925,-30.22,90.0,bottom
J2,114.065,-98.73,270.0,bottom
